longitude,latitude,time,station,wmo_platform_code,T_25
degrees_east,degrees_north,UTC,,,degree_C
0.0,0.0,2015-05-23T12:00:00Z,0n0e,13010,27.89
0.0,0.0,2015-05-24T12:00:00Z,0n0e,13010,27.5
0.0,0.0,2015-05-25T12:00:00Z,0n0e,13010,27.44
0.0,0.0,2015-05-26T12:00:00Z,0n0e,13010,27.4
0.0,0.0,2015-05-27T12:00:00Z,0n0e,13010,27.66
0.0,0.0,2015-05-28T12:00:00Z,0n0e,13010,27.86
0.0,0.0,2015-05-29T12:00:00Z,0n0e,13010,27.66
0.0,0.0,2015-05-30T12:00:00Z,0n0e,13010,27.25
0.0,0.0,2015-05-31T12:00:00Z,0n0e,13010,26.61
350.0,0.0,2015-05-23T12:00:00Z,0n10w,15002,27.37
350.0,0.0,2015-05-24T12:00:00Z,0n10w,15002,27.26
350.0,0.0,2015-05-25T12:00:00Z,0n10w,15002,27.09
350.0,0.0,2015-05-26T12:00:00Z,0n10w,15002,26.92
350.0,0.0,2015-05-27T12:00:00Z,0n10w,15002,26.62
350.0,0.0,2015-05-28T12:00:00Z,0n10w,15002,26.25
350.0,0.0,2015-05-29T12:00:00Z,0n10w,15002,25.9
350.0,0.0,2015-05-30T12:00:00Z,0n10w,15002,25.32
350.0,0.0,2015-05-31T12:00:00Z,0n10w,15002,25.03
250.0,0.0,2015-05-23T12:00:00Z,0n110w,32323,27.28295
250.0,0.0,2015-05-24T12:00:00Z,0n110w,32323,27.329819
250.0,0.0,2015-05-25T12:00:00Z,0n110w,32323,27.310236
250.0,0.0,2015-05-26T12:00:00Z,0n110w,32323,27.079266
250.0,0.0,2015-05-27T12:00:00Z,0n110w,32323,27.065012
250.0,0.0,2015-05-28T12:00:00Z,0n110w,32323,26.99635
250.0,0.0,2015-05-29T12:00:00Z,0n110w,32323,27.092093
250.0,0.0,2015-05-30T12:00:00Z,0n110w,32323,27.199652
250.0,0.0,2015-05-31T12:00:00Z,0n110w,32323,27.22078
235.0,0.0,2015-05-23T12:00:00Z,0n125w,51011,27.994469
235.0,0.0,2015-05-24T12:00:00Z,0n125w,51011,28.01949
235.0,0.0,2015-05-25T12:00:00Z,0n125w,51011,28.105331
235.0,0.0,2015-05-26T12:00:00Z,0n125w,51011,27.962217
235.0,0.0,2015-05-27T12:00:00Z,0n125w,51011,27.926662
235.0,0.0,2015-05-28T12:00:00Z,0n125w,51011,27.891012
235.0,0.0,2015-05-29T12:00:00Z,0n125w,51011,27.798313
